The Departed,Scorsese, 2006
Kill Bill,Tarantino,2003
Saving Private Ryan,Spielberg,1998
Toy Story 4,Cooley,2019
Inside Out,Cooley,2015
Bridge of Spies,Spielberg,2015
Captain Phillips,Greengrass,2015
Metropolis,Lang,1927
M - Eine Stadt sucht einen Mörder,Lang,1931
